Feature,Importance
Imp_Real_Gap,0.08590919429856472
Return_3M,-0.07308862964378461
Dist_from_200MA,-0.07124277750507986
MA_Dist_200,-0.07124277750507978
Hurst,0.05714182157098751
USD_Trend,-0.04481388276397026
Yield_Curve,0.030350452227337475
Return_1M,-0.025699212274419382
Oil_Deviation,0.025122634347291176
Slope_100,0.022723026090138015
HY_Spread,-0.014645522165024117
Slope_50,-0.013101265671199864
Trend_Efficiency,-0.004899923695475749
RV_Ratio,-0.004441863027836616
Return_12M,-0.003824901725219203
Return_6M,-0.003357886098866231
GARCH_Forecast,0.0026330157328156995
UMich_Sentiment,-0.00029354918540191414
Trend_200MA_Slope,0.0001156699562575754
Sectors_Above_50MA,-8.31507109833411e-06
Put_Call_Ratio,-3.796053571864193e-32
QC_CPC_missing,0.0
QC_NYA50_missing,0.0
QC_ISM_PMI_missing,0.0
QC_NYA50_proxy,0.0
