,date,y_true,ridge_pred,resid_pred,final_pred,lambda_selected,split,fold
0,2025-09-01,0.035620364958517094,-0.007943695125261597,-1.8018975e-05,-0.007943695125261597,0.0,test,33
1,2025-09-02,0.046907132187082895,-0.009819520053778156,-0.0040314468,-0.009819520053778156,0.0,test,33
2,2025-09-03,0.04246332624571729,-0.011903915513470264,0.0006273321,-0.011903915513470264,0.0,test,33
3,2025-09-04,0.0338078922640093,-0.016994089893337835,-0.016092306,-0.016994089893337835,0.0,test,33
4,2025-09-05,0.0405290333549849,-0.01837998001446088,-0.0028083834,-0.01837998001446088,0.0,test,33
5,2025-09-08,0.034130802260910253,-0.019989803060723305,-0.0124086905,-0.019989803060723305,0.0,test,33
6,2025-09-09,0.03789790418338894,-0.02328217729298533,-0.017177377,-0.02328217729298533,0.0,test,33
7,2025-09-10,0.03190799027614272,-0.02444159957833598,-0.0636496,-0.02444159957833598,0.0,test,33
8,2025-09-11,-0.004257027641502822,-0.030645980110930164,-0.061130565,-0.030645980110930164,0.0,test,33
9,2025-09-12,0.011360062622274217,-0.03176727910409026,-0.033725113,-0.03176727910409026,0.0,test,33
10,2025-09-15,0.004775239616273172,-0.03530982211050722,-0.04947939,-0.03530982211050722,0.0,test,33
11,2025-09-16,0.01062749042684765,-0.03467156692517248,-0.043509584,-0.03467156692517248,0.0,test,33
12,2025-09-17,0.004993432772406242,-0.042369538006271586,-0.05057853,-0.042369538006271586,0.0,test,33
13,2025-09-18,0.005997614336310192,-0.04087900202756155,-0.043509584,-0.04087900202756155,0.0,test,33
14,2025-09-19,0.011450919762175327,-0.042117088545084884,-0.044838592,-0.042117088545084884,0.0,test,33
15,2025-09-22,0.006673191459215577,-0.04122105206992721,-0.047745436,-0.04122105206992721,0.0,test,33
16,2025-09-23,0.006920833021582026,-0.036938803204217004,-0.04374939,-0.036938803204217004,0.0,test,33
17,2025-09-24,0.016124693046977407,-0.034805745784707354,-0.03782859,-0.034805745784707354,0.0,test,33
18,2025-09-25,0.029177133292603036,-0.03610797165770771,-0.02682811,-0.03610797165770771,0.0,test,33
19,2025-09-26,0.03538723920548241,-0.040637348386579855,-0.030979587,-0.040637348386579855,0.0,test,33
20,2025-09-29,0.03522782838239637,-0.041772585076970514,-0.032127596,-0.041772585076970514,0.0,test,33
21,2025-09-30,0.0318382752497024,-0.04203339672606996,-0.032973032,-0.04203339672606996,0.0,test,33
