Feature,Importance
Hurst,0.10543039875205641
Imp_Real_Gap,0.09062518058178676
Dist_from_200MA,-0.06233076524702037
Vol_Trend_Interact,0.0598394336245634
USD_Trend_Chg,-0.03912698260724513
Breadth_Regime,-0.032132362703025406
Trend_Efficiency,-0.01715712781521455
Slope_50,-0.01415186469802935
Trend_200MA_Slope,0.011813914815635804
Return_12M_Z,0.010078248432586102
HY_Spread_Diff,-0.008654845128006437
Return_1M,-0.005651591599815279
Month_Cos,-0.00447036838876985
Slope_100,0.004449762434767384
Return_3M_Z,-0.004018436509920983
Yield_Curve_Chg,0.003942354073754128
Return_6M_Z,-0.0034039258411461878
Oil_Deviation_Chg,-0.002390792581411902
GARCH_Forecast,0.0020818512497469558
Month_Sin,-0.0008375309274307193
Breadth_Vol_Interact,-0.0006042024795314343
Breadth_Thrust,0.00014208537046635886
Sectors_Above_50MA,-5.3372195475112696e-05
UMich_Sentiment_Chg,7.135495501653243e-06
