Feature,Importance
Return_3M,0.11275411135645186
Imp_Real_Gap,0.08260612152015813
Oil_Deviation,0.048310516366711014
USD_Trend,0.04722336976151082
Yield_Curve,0.04031387266825623
Hurst,0.03634127837450184
HY_Spread,0.03423717509371462
Sectors_Above_50MA,0.03066140095824464
Slope_100,0.03043155365538322
Slope_50,0.02983532289627726
Return_12M,0.029615302556607152
Dist_from_200MA,-0.027187113099131285
GARCH_Forecast,0.026384656090386774
UMich_Sentiment,0.018689876287413552
Return_1M,-0.010226995770385142
Trend_200MA_Slope,0.006068860697308983
Return_6M,-0.004666488062183947
RV_Ratio,0.002035909006657933
Trend_Efficiency,0.0020069178231508756
Put_Call_Ratio,-1.998834999818332e-33
QC_CPC_missing,0.0
QC_NYA50_missing,0.0
QC_ISM_PMI_missing,0.0
QC_NYA50_proxy,0.0
