,date,y_true,ridge_pred,resid_pred,final_pred,lambda_selected,split,fold
0,2024-05-01,0.0444887119843907,0.029003059399494747,-0.0043915967,0.029003059399494747,0.0,test,17
1,2024-05-02,0.044235123001308746,0.02754851150208406,-0.0029127814,0.02754851150208406,0.0,test,17
2,2024-05-03,0.03229078338245883,0.028336254548416588,-0.016080623,0.028336254548416588,0.0,test,17
3,2024-05-06,0.022881848989580712,0.028195323136540926,-0.02099975,0.028195323136540926,0.0,test,17
4,2024-05-07,0.03389794648532881,0.032944254973164305,-0.028007733,0.032944254973164305,0.0,test,17
5,2024-05-08,0.03377885514982684,0.03893835808549953,-0.019493505,0.03893835808549953,0.0,test,17
6,2024-05-09,0.026606793508414935,0.03789330679122068,-0.022951238,0.03789330679122068,0.0,test,17
7,2024-05-10,0.028453949292288713,0.03352156196817937,-0.015224741,0.03352156196817937,0.0,test,17
8,2024-05-13,0.030792279437103005,0.02985292532454372,-0.011131035,0.02985292532454372,0.0,test,17
9,2024-05-14,0.034511786111747336,0.029141110864290727,-0.010588867,0.029141110864290727,0.0,test,17
10,2024-05-15,0.02391568117118872,0.02659725276629877,-0.001303593,0.02659725276629877,0.0,test,17
11,2024-05-16,0.02665076746082737,0.019755176323604712,-0.001587216,0.019755176323604712,0.0,test,17
12,2024-05-17,0.033336417494615245,0.019067356245351212,-0.00094511674,0.019067356245351212,0.0,test,17
13,2024-05-20,0.034769711734458114,0.019697241450269687,-0.0025407728,0.019697241450269687,0.0,test,17
14,2024-05-21,0.0322380394592199,0.020153177999658503,-0.0019146712,0.020153177999658503,0.0,test,17
15,2024-05-22,0.032406577927651246,0.020717182893991742,-0.0014534482,0.020717182893991742,0.0,test,17
16,2024-05-23,0.038608861209388154,0.02275622856262399,-0.0011853765,0.02275622856262399,0.0,test,17
17,2024-05-24,0.028427851345017043,0.0185882867667204,-0.0011853765,0.0185882867667204,0.0,test,17
18,2024-05-27,0.03238841153942618,0.019148329915023056,-0.0011853765,0.019148329915023056,0.0,test,17
19,2024-05-28,0.03295506453974416,0.021752216450058683,-0.0018700337,0.021752216450058683,0.0,test,17
20,2024-05-29,0.04187920113391104,0.02128782885697937,0.0010065468,0.02128782885697937,0.0,test,17
21,2024-05-30,0.04470972526959456,0.021472106562178003,-0.0062020784,0.021472106562178003,0.0,test,17
22,2024-05-31,0.03741087946563397,0.018219048052786055,-0.0042160833,0.018219048052786055,0.0,test,17
